datetime,flow rate at 45 °C [kg/h],load [W]
2019-01-01 00:00:00+01:00,86,3487
2019-01-01 00:15:00+01:00,20,831
2019-01-01 00:30:00+01:00,0,0
2019-01-01 00:45:00+01:00,49,2004
2019-01-01 01:00:00+01:00,0,0
2019-01-01 01:15:00+01:00,34,1369
2019-01-01 01:30:00+01:00,34,1401
2019-01-01 01:45:00+01:00,21,864
2019-01-01 02:00:00+01:00,0,0
2019-01-01 02:15:00+01:00,0,0
2019-01-01 02:30:00+01:00,0,0
2019-01-01 02:45:00+01:00,0,0
2019-01-01 03:00:00+01:00,0,0
2019-01-01 03:15:00+01:00,0,0
2019-01-01 03:30:00+01:00,96,3927
2019-01-01 03:45:00+01:00,66,2672
2019-01-01 04:00:00+01:00,36,1483
2019-01-01 04:15:00+01:00,0,0
2019-01-01 04:30:00+01:00,42,1695
2019-01-01 04:45:00+01:00,41,1662
2019-01-01 05:00:00+01:00,73,2982
2019-01-01 05:15:00+01:00,0,0
2019-01-01 05:30:00+01:00,0,0
2019-01-01 05:45:00+01:00,43,1744
2019-01-01 06:00:00+01:00,0,0
2019-01-01 06:15:00+01:00,39,1597
2019-01-01 06:30:00+01:00,0,0
2019-01-01 06:45:00+01:00,0,0
2019-01-01 07:00:00+01:00,1070,43588
2019-01-01 07:15:00+01:00,1122,45722
2019-01-01 07:30:00+01:00,1078,43897
2019-01-01 07:45:00+01:00,1095,44614
2019-01-01 08:00:00+01:00,1114,45364
2019-01-01 08:15:00+01:00,1098,44745
2019-01-01 08:30:00+01:00,1107,45087
2019-01-01 08:45:00+01:00,1084,44158
2019-01-01 09:00:00+01:00,1047,42659
2019-01-01 09:15:00+01:00,1101,44859
2019-01-01 09:30:00+01:00,1086,44256
2019-01-01 09:45:00+01:00,1073,43702
2019-01-01 10:00:00+01:00,1060,43180
2019-01-01 10:15:00+01:00,1100,44826
2019-01-01 10:30:00+01:00,1044,42512
2019-01-01 10:45:00+01:00,222,9043
2019-01-01 11:00:00+01:00,168,6827
2019-01-01 11:15:00+01:00,23,945
2019-01-01 11:30:00+01:00,49,1988
2019-01-01 11:45:00+01:00,48,1972
2019-01-01 12:00:00+01:00,916,37314
2019-01-01 12:15:00+01:00,1075,43799
2019-01-01 12:30:00+01:00,1094,44582
2019-01-01 12:45:00+01:00,1095,44598
2019-01-01 13:00:00+01:00,1036,42203
2019-01-01 13:15:00+01:00,238,9711
2019-01-01 13:30:00+01:00,105,4285
2019-01-01 13:45:00+01:00,48,1972
2019-01-01 14:00:00+01:00,124,5035
