datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2]
2015-01-01 00:00:00+01:00,4.2,945.0,197.0,2.7,8.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:15:00+01:00,4.2,945.0,197.0,2.7,8.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00+01:00,4.1,945.0,196.5,2.7,8.0,88.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:45:00+01:00,3.8,945.0,195.5,2.6,8.0,89.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+01:00,3.6,945.0,194.5,2.5,8.0,90.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:15:00+01:00,3.3,945.0,193.5,2.4,8.0,91.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00+01:00,3.1,945.0,193.0,2.2,7.9,92.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:45:00+01:00,2.9,945.0,193.0,2.1,7.6,93.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+01:00,2.8,945.0,193.0,2.0,7.4,94.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:15:00+01:00,2.6,945.0,193.0,1.9,7.1,95.5,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00+01:00,2.5,945.0,192.2,1.8,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:45:00+01:00,2.4,945.0,190.4,1.8,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00+01:00,2.4,945.0,188.7,1.7,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:15:00+01:00,2.3,945.0,186.9,1.7,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00+01:00,2.3,945.0,185.2,1.7,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:45:00+01:00,2.3,945.0,183.4,1.6,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00+01:00,2.2,945.0,181.7,1.6,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:15:00+01:00,2.2,945.0,179.9,1.5,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:30:00+01:00,2.2,945.0,175.5,1.4,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:45:00+01:00,2.1,945.0,168.0,1.3,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00+01:00,2.1,945.0,160.5,1.1,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:15:00+01:00,2.0,945.0,153.0,1.0,7.0,96.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:30:00+01:00,2.0,945.0,150.4,1.0,7.1,95.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:45:00+01:00,2.0,945.0,153.4,1.1,7.4,95.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00+01:00,2.0,945.0,156.4,1.2,7.6,95.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:15:00+01:00,2.0,945.0,159.4,1.3,7.9,95.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:30:00+01:00,2.0,945.1,164.4,1.6,8.0,95.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:45:00+01:00,2.0,945.4,171.6,2.1,8.0,95.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:00:00+01:00,1.9,945.6,178.9,2.5,8.0,95.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:15:00+01:00,1.9,945.9,186.1,3.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:30:00+01:00,1.9,946.1,188.6,3.1,8.0,95.0,0.1,1.9,0.0,0.0,0.0
2015-01-01 07:45:00+01:00,1.8,946.4,185.6,2.9,8.0,95.0,0.4,5.9,0.0,0.0,0.0
2015-01-01 08:00:00+01:00,1.8,946.6,182.6,2.7,8.0,95.0,0.6,9.9,0.7,0.0,0.0
2015-01-01 08:15:00+01:00,1.7,946.9,179.6,2.5,8.0,95.0,0.9,13.9,5.1,2.1,4.7
2015-01-01 08:30:00+01:00,1.7,947.0,181.9,2.3,7.7,95.0,3.6,23.6,19.8,10.2,26.2
2015-01-01 08:45:00+01:00,1.7,947.0,190.1,2.1,6.9,95.0,9.1,39.8,42.4,18.6,51.1
2015-01-01 09:00:00+01:00,1.7,947.0,198.3,1.9,6.1,95.0,14.6,56.1,44.5,37.5,76.4
2015-01-01 09:15:00+01:00,1.7,947.0,206.6,1.7,5.4,95.0,20.1,72.3,89.9,49.7,101.3
2015-01-01 09:30:00+01:00,1.7,947.1,210.9,1.6,5.0,95.0,23.3,86.5,129.0,28.5,125.3
2015-01-01 09:45:00+01:00,1.7,947.4,210.6,1.6,5.0,95.0,24.1,98.2,152.6,29.2,148.0
2015-01-01 10:00:00+01:00,1.8,947.6,210.4,1.5,5.0,95.0,24.9,110.0,162.2,58.8,169.2
2015-01-01 10:15:00+01:00,1.8,947.9,210.1,1.5,5.0,95.0,25.6,121.7,197.7,59.7,188.5
2015-01-01 10:30:00+01:00,1.8,948.1,212.3,1.5,5.3,95.0,23.0,120.7,99.2,82.7,205.9
2015-01-01 10:45:00+01:00,1.7,948.4,217.3,1.6,6.1,95.0,16.5,104.9,157.0,114.4,221.1
2015-01-01 11:00:00+01:00,1.6,948.6,222.3,1.7,6.9,95.0,10.0,89.1,139.1,116.4,234.0
2015-01-01 11:15:00+01:00,1.5,948.9,227.3,1.8,7.6,95.0,3.5,73.4,63.8,61.0,244.5
2015-01-01 11:30:00+01:00,1.5,949.0,229.5,1.8,8.0,95.0,0.0,68.0,30.6,30.1,252.5
2015-01-01 11:45:00+01:00,1.6,949.0,228.5,1.7,8.0,95.0,0.0,74.5,26.5,25.8,258.0
2015-01-01 12:00:00+01:00,1.6,949.0,227.5,1.6,8.0,95.0,0.0,81.0,49.1,46.9,260.8
2015-01-01 12:15:00+01:00,1.7,949.0,226.5,1.5,8.0,95.0,0.0,87.5,67.8,65.3,261.0
2015-01-01 12:30:00+01:00,1.7,949.0,223.2,1.3,8.0,95.0,0.0,90.2,90.0,85.5,258.5
2015-01-01 12:45:00+01:00,1.7,949.0,217.2,1.1,8.0,95.0,0.0,88.4,157.1,89.1,253.5
