datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2]
2015-01-01 00:00:00+01:00,0.0,990.0,101.0,0.9,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:15:00+01:00,0.0,990.0,101.0,0.9,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00+01:00,-0.1,990.0,101.7,0.9,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:45:00+01:00,-0.3,990.0,103.2,1.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+01:00,-0.6,990.0,104.7,1.1,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:15:00+01:00,-0.8,990.0,106.2,1.2,2.0,88.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00+01:00,-1.0,990.1,107.0,1.3,2.0,88.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:45:00+01:00,-1.1,990.4,107.0,1.2,2.0,88.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+01:00,-1.3,990.6,107.0,1.1,2.0,88.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:15:00+01:00,-1.4,990.9,107.0,1.0,2.0,88.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00+01:00,-1.4,991.0,111.2,1.0,2.7,89.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:45:00+01:00,-1.1,991.0,120.2,0.9,4.2,89.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00+01:00,-0.9,991.0,129.2,0.8,5.7,89.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:15:00+01:00,-0.6,991.0,138.2,0.7,7.2,89.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00+01:00,-0.4,991.0,137.4,0.6,8.0,90.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:45:00+01:00,-0.3,991.0,125.4,0.7,8.0,90.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00+01:00,-0.1,991.0,113.4,0.8,8.0,90.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:15:00+01:00,0.0,991.0,101.4,0.9,8.0,90.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:30:00+01:00,0.1,991.0,97.6,0.8,7.5,91.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:45:00+01:00,0.0,991.0,103.1,0.7,6.5,91.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00+01:00,0.0,991.0,108.6,0.6,5.5,91.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:15:00+01:00,-0.1,991.0,114.1,0.5,4.5,91.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:30:00+01:00,-0.1,991.0,116.7,0.4,4.2,90.9,0.0,0.0,0.0,0.0,0.0
