datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2]
2015-01-01 00:00:00+01:00,-2.6,940.0,154.0,2.1,8.0,94.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:15:00+01:00,-2.6,940.0,154.0,2.1,8.0,94.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00+01:00,-2.6,940.0,150.4,2.1,8.0,93.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:45:00+01:00,-2.7,940.0,142.6,2.2,8.0,93.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+01:00,-2.8,940.0,134.9,2.3,8.0,93.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:15:00+01:00,-2.9,940.0,127.1,2.4,8.0,93.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00+01:00,-3.0,940.0,119.6,2.5,8.0,92.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:45:00+01:00,-3.1,940.0,112.4,2.6,8.0,92.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+01:00,-3.2,940.0,105.1,2.6,8.0,92.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:15:00+01:00,-3.3,940.0,97.9,2.7,8.0,92.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00+01:00,-3.4,940.0,93.9,2.7,8.0,92.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:45:00+01:00,-3.4,940.0,93.6,2.7,8.0,92.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00+01:00,-3.5,940.0,93.4,2.7,8.0,92.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:15:00+01:00,-3.5,940.0,93.1,2.7,8.0,92.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00+01:00,-3.5,939.9,93.2,2.7,8.0,93.0,0.0,0.0,0.0,0.0,0.0
