datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2045-01-01 00:00:00+01:00,3.4,946,242,3.5,6,93,0,0
2045-01-01 01:00:00+01:00,2.8,946,262,4.0,6,97,0,0
2045-01-01 02:00:00+01:00,2.3,946,273,4.5,6,100,0,0
2045-01-01 03:00:00+01:00,2.2,946,270,4.7,5,99,0,0
2045-01-01 04:00:00+01:00,2.2,946,265,4.5,6,99,0,0
2045-01-01 05:00:00+01:00,2.3,946,241,4.3,4,99,0,0
2045-01-01 06:00:00+01:00,2.0,946,255,3.9,8,99,0,0
2045-01-01 07:00:00+01:00,2.6,946,242,4.4,8,100,0,0
2045-01-01 08:00:00+01:00,2.5,946,263,4.8,8,100,1,11
2045-01-01 09:00:00+01:00,2.3,947,246,3.3,8,100,1,41
2045-01-01 10:00:00+01:00,2.8,947,284,4.2,8,100,0,47
2045-01-01 11:00:00+01:00,3.2,947,295,4.7,7,99,6,94
2045-01-01 12:00:00+01:00,3.2,946,266,3.0,6,96,22,109
2045-01-01 13:00:00+01:00,3.9,946,263,3.4,5,89,82,82
2045-01-01 14:00:00+01:00,3.9,945,265,3.4,5,82,34,76
2045-01-01 15:00:00+01:00,3.2,945,236,3.6,7,82,0,29
2045-01-01 16:00:00+01:00,2.5,944,207,4.1,8,88,0,3
2045-01-01 17:00:00+01:00,2.1,944,277,4.7,8,91,0,0
2045-01-01 18:00:00+01:00,2.8,944,221,3.1,7,92,0,0
2045-01-01 19:00:00+01:00,3.3,944,257,6.1,7,90,0,0
2045-01-01 20:00:00+01:00,2.6,943,234,5.1,8,92,0,0
2045-01-01 21:00:00+01:00,3.3,942,230,5.8,7,95,0,0
2045-01-01 22:00:00+01:00,3.0,942,221,5.5,7,93,0,0
2045-01-01 23:00:00+01:00,3.7,942,239,5.8,7,90,0,0
2045-01-02 00:00:00+01:00,4.0,942,233,5.5,7,88,0,0
2045-01-02 01:00:00+01:00,3.4,941,247,6.2,8,91,0,0
2045-01-02 02:00:00+01:00,3.5,940,218,6.0,8,94,0,0
2045-01-02 03:00:00+01:00,4.3,939,228,6.3,8,94,0,0
2045-01-02 04:00:00+01:00,6.3,939,258,10.0,8,92,0,0
2045-01-02 05:00:00+01:00,5.8,939,269,9.5,8,92,0,0
2045-01-02 06:00:00+01:00,5.9,939,267,10.7,8,92,0,0
2045-01-02 07:00:00+01:00,3.3,939,299,9.6,8,94,0,0
2045-01-02 08:00:00+01:00,2.9,939,282,7.2,8,98,0,3
2045-01-02 09:00:00+01:00,3.2,940,271,6.7,8,99,0,16
2045-01-02 10:00:00+01:00,3.2,941,275,8.9,8,95,0,39
2045-01-02 11:00:00+01:00,3.1,941,282,8.2,6,91,0,48
2045-01-02 12:00:00+01:00,2.6,941,278,9.9,5,83,0,74
2045-01-02 13:00:00+01:00,1.9,941,279,8.1,6,76,0,72
2045-01-02 14:00:00+01:00,1.7,942,281,7.5,7,74,0,56
2045-01-02 15:00:00+01:00,1.3,942,283,7.7,7,72,4,37
2045-01-02 16:00:00+01:00,0.5,943,281,7.9,7,79,0,7
2045-01-02 17:00:00+01:00,0.3,943,281,7.6,6,84,0,0
2045-01-02 18:00:00+01:00,-0.1,945,283,6.4,6,82,0,0
