datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2045-01-01 00:00:00+01:00,1.0,1012,213,3.7,5,85,0,0
2045-01-01 01:00:00+01:00,-0.7,1012,208,3.3,4,87,0,0
2045-01-01 02:00:00+01:00,-2.3,1012,196,3.0,3,90,0,0
2045-01-01 03:00:00+01:00,-3.1,1012,185,3.3,2,91,0,0
2045-01-01 04:00:00+01:00,-3.8,1012,175,3.6,1,92,0,0
2045-01-01 05:00:00+01:00,-4.6,1011,160,4.0,1,93,0,0
2045-01-01 06:00:00+01:00,-4.9,1010,170,4.7,1,92,0,0
2045-01-01 07:00:00+01:00,-5.0,1010,160,4.0,2,92,0,0
2045-01-01 08:00:00+01:00,-5.4,1009,150,4.1,2,92,0,0
2045-01-01 09:00:00+01:00,-3.9,1009,130,4.1,6,89,19,39
2045-01-01 10:00:00+01:00,-4.0,1008,130,4.1,4,86,72,66
2045-01-01 11:00:00+01:00,-1.9,1008,140,4.1,5,80,16,90
2045-01-01 12:00:00+01:00,-0.4,1007,130,4.3,4,72,74,97
2045-01-01 13:00:00+01:00,0.4,1005,130,5.7,5,68,33,90
2045-01-01 14:00:00+01:00,0.5,1004,130,5.0,7,66,3,55
2045-01-01 15:00:00+01:00,0.6,1003,140,5.0,7,64,1,23
2045-01-01 16:00:00+01:00,0.3,1003,130,5.0,7,63,0,0
2045-01-01 17:00:00+01:00,0.3,1002,140,4.3,7,64,0,0
2045-01-01 18:00:00+01:00,0.7,1001,140,4.3,7,64,0,0
2045-01-01 19:00:00+01:00,0.8,1001,140,4.1,8,62,0,0
2045-01-01 20:00:00+01:00,0.2,1000,140,4.7,7,67,0,0
2045-01-01 21:00:00+01:00,0.0,1000,170,4.2,8,78,0,0
2045-01-01 22:00:00+01:00,0.1,1000,170,4.3,8,86,0,0
2045-01-01 23:00:00+01:00,0.1,1000,160,4.7,8,92,0,0
2045-01-02 00:00:00+01:00,0.2,999,160,3.7,8,95,0,0
2045-01-02 01:00:00+01:00,0.3,999,170,3.7,8,96,0,0
2045-01-02 02:00:00+01:00,0.5,998,200,2.2,8,99,0,0
2045-01-02 03:00:00+01:00,0.7,999,180,3.7,8,98,0,0
2045-01-02 04:00:00+01:00,1.0,998,170,3.0,8,95,0,0
2045-01-02 05:00:00+01:00,1.2,998,190,3.7,8,92,0,0
2045-01-02 06:00:00+01:00,1.3,998,180,2.8,8,90,0,0
2045-01-02 07:00:00+01:00,1.2,998,180,3.4,8,91,0,0
2045-01-02 08:00:00+01:00,1.3,997,170,3.7,8,92,1,9
2045-01-02 09:00:00+01:00,1.4,997,170,3.6,7,92,19,58
2045-01-02 10:00:00+01:00,1.6,997,180,2.7,4,91,43,109
2045-01-02 11:00:00+01:00,2.1,997,170,2.0,6,88,9,105
2045-01-02 12:00:00+01:00,3.1,997,160,2.5,7,85,0,73
2045-01-02 13:00:00+01:00,3.3,997,140,1.8,8,82,0,36
2045-01-02 14:00:00+01:00,3.4,996,180,3.5,6,83,0,36
2045-01-02 15:00:00+01:00,3.4,996,160,2.3,7,83,0,10
2045-01-02 16:00:00+01:00,2.9,996,170,4.3,4,86,0,0
2045-01-02 17:00:00+01:00,2.4,996,170,4.3,1,90,0,0
2045-01-02 18:00:00+01:00,2.2,997,170,3.6,2,92,0,0
2045-01-02 19:00:00+01:00,2.1,997,160,3.5,3,93,0,0
2045-01-02 20:00:00+01:00,2.0,997,170,3.7,3,94,0,0
2045-01-02 21:00:00+01:00,2.4,997,180,4.3,4,94,0,0
2045-01-02 22:00:00+01:00,2.6,998,170,4.5,4,95,0,0
2045-01-02 23:00:00+01:00,2.8,998,180,4.5,4,94,0,0
2045-01-03 00:00:00+01:00,2.6,998,180,4.4,4,92,0,0
2045-01-03 01:00:00+01:00,2.1,998,170,4.4,3,92,0,0
2045-01-03 02:00:00+01:00,1.9,997,170,4.9,2,93,0,0
2045-01-03 03:00:00+01:00,2.5,998,170,3.9,4,91,0,0
2045-01-03 04:00:00+01:00,2.9,998,180,3.2,6,90,0,0
2045-01-03 05:00:00+01:00,2.8,998,180,4.5,7,90,0,0
2045-01-03 06:00:00+01:00,3.1,998,190,4.3,8,90,0,0
2045-01-03 07:00:00+01:00,3.3,998,200,4.3,7,90,0,0
2045-01-03 08:00:00+01:00,3.6,998,190,5.1,7,89,3,7
2045-01-03 09:00:00+01:00,3.6,999,190,4.5,6,89,25,42
2045-01-03 10:00:00+01:00,5.1,1000,200,3.8,4,86,59,76
2045-01-03 11:00:00+01:00,5.9,1000,210,3.9,5,82,82,97
2045-01-03 12:00:00+01:00,7.2,1000,220,4.8,5,77,51,107
2045-01-03 13:00:00+01:00,8.0,1000,220,5.5,5,73,29,94
2045-01-03 14:00:00+01:00,6.1,1000,240,5.6,6,77,12,63
2045-01-03 15:00:00+01:00,4.9,1001,230,4.9,7,87,0,19
2045-01-03 16:00:00+01:00,4.2,1002,230,4.7,8,95,0,0
2045-01-03 17:00:00+01:00,4.0,1002,230,5.3,6,98,0,0
2045-01-03 18:00:00+01:00,3.5,1003,240,4.7,6,98,0,0
