Location,HeatingReferenceTemperature,HeatingSeasonEnd,HeatingSeasonBegin,NumberOfHeatingDays,Average
NL,-4.9,148,275,202,6.6189459570957085
GR,1.5,93,339,67,9.299393656716417
RS,-10.5,136,279,156,4.81837606837607
HU,-9.3,135,263,173,4.7741750963391105
DK,-3.8,149,260,224,5.595238095238093
IE,0.2,165,274,229,7.989369541484716
SI,-10.4,150,263,194,5.601406786941579
GB,-5.2,161,275,209,7.012320574162683
ES,5.7,35,319,11,11.167708333333335
CY,7.6,59,366,7,11.015327380952382
NO,-19.9,185,212,263,1.0723225602027893
FR,-4.800000000000001,136,276,192,6.497016059027779
DE,-8.700000000000001,136,260,206,4.9347289644012955
CZ,-11.1,136,261,199,4.436882328308209
IT,-1.3,135,324,98,8.49181547619048
BG,-12.2,130,277,176,4.799733664772727
SE,-15.7,152,259,250,3.1113791666666653
BE,-4.4,148,275,206,6.160553195792881
AT,-9.1,136,262,191,4.8884053228621305
PL,-12.8,135,260,207,3.748052536231883
