Ort 	          : Madrid
Breitengrad       : 40.45
Längengrad	  : -3.7
Hoehenlage        : 716 Meter ueber NN


Art des TMY       : mittleres Jahr
Bezugszeitraum    : 2017-2019
Datenbasis        : National solar radiation database 

NSRDB,232500,-,-,-,40.45,-3.7,0,716,1,w/m2,w/m2,w/m2
Year,MM,DD,HH,Minute,Temperature,DHI,GHI,DNI,Surface Albedo,Wind Direction,Wind Speed,Pressure
2019,1,1,1,30,3.3,0,0,0,0.16,18,1.4,940
2019,1,1,2,30,2.4,0,0,0,0.16,22,1.4,940
2019,1,1,3,30,1.5,0,0,0,0.16,24,1.4,940
2019,1,1,4,30,0.8,0,0,0,0.16,25,1.4,940
2019,1,1,5,30,0.2,0,0,0,0.16,26,1.4,940
2019,1,1,6,30,-0.2,0,0,0,0.16,28,1.3,940
2019,1,1,7,30,-0.4,0,0,0,0.16,30,1.3,940
2019,1,1,8,30,0.7,0,0,0,0.16,33,1.2,941
2019,1,1,9,30,3.6,31,107,588,0.16,35,1.6,941
2019,1,1,10,30,6.6,48,48,0,0.16,34,1.8,941
2019,1,1,11,30,8.9,55,383,884,0.16,31,1.3,941
2019,1,1,12,30,10.8,59,457,923,0.16,22,0.9,940
2019,1,1,13,30,12.3,59,476,933,0.16,182,0.7,940
2019,1,1,14,30,13,58,435,912,0.16,340,0.6,939
2019,1,1,15,30,12.7,53,340,857,0.16,303,0.4,939
2019,1,1,16,30,10.9,43,202,730,0.16,270,0.4,939
2019,1,1,17,30,8.6,21,50,421,0.16,275,0.6,939
2019,1,1,18,30,6.9,0,0,0,0.16,298,0.8,940
2019,1,1,19,30,5.7,0,0,0,0.16,320,1,940
2019,1,1,20,30,4.5,0,0,0,0.16,338,1.3,940
2019,1,1,21,30,3.3,0,0,0,0.16,351,1.4,940
2019,1,1,22,30,2.1,0,0,0,0.16,181,1.5,940
2019,1,1,23,30,1.1,0,0,0,0.16,6,1.6,940
