Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1291832,-,-,-,37.97,23.74,0,140,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Pressure,Wind Speed,Wind Direction
2019,1,1,0,0,8,0,0,0,1011,8.6,41
2019,1,1,0,15,8,0,0,0,1011,8.700000000000001,41
2019,1,1,0,30,8,0,0,0,1011,8.700000000000001,40
2019,1,1,0,45,7.9,0,0,0,1011,8.8,39
2019,1,1,1,0,7.9,0,0,0,1011,8.8,39
2019,1,1,1,15,7.9,0,0,0,1011,8.9,38
2019,1,1,1,30,7.9,0,0,0,1011,8.9,38
2019,1,1,1,45,7.9,0,0,0,1011,9,37
2019,1,1,2,0,7.9,0,0,0,1011,9,37
2019,1,1,2,15,7.9,0,0,0,1011,9,37
2019,1,1,2,30,7.9,0,0,0,1011,9.1,36
2019,1,1,2,45,8,0,0,0,1011,9.1,36
2019,1,1,3,0,8,0,0,0,1011,9.1,36
2019,1,1,3,15,7.9,0,0,0,1011,9.1,35
2019,1,1,3,30,7.9,0,0,0,1011,9.200000000000001,35
2019,1,1,3,45,7.9,0,0,0,1011,9.200000000000001,35
2019,1,1,4,0,7.9,0,0,0,1011,9.200000000000001,34
2019,1,1,4,15,7.9,0,0,0,1011,9.200000000000001,34
2019,1,1,4,30,7.800000000000001,0,0,0,1012,9.3,33
2019,1,1,4,45,7.800000000000001,0,0,0,1012,9.4,33
2019,1,1,5,0,7.800000000000001,0,0,0,1012,9.4,33
2019,1,1,5,15,7.800000000000001,0,0,0,1012,9.4,32
2019,1,1,5,30,7.800000000000001,0,0,0,1012,9.5,32
2019,1,1,5,45,7.800000000000001,0,0,0,1012,9.5,32
2019,1,1,6,0,7.800000000000001,3,0,3,1012,9.600000000000001,32
2019,1,1,6,15,7.800000000000001,5,0,5,1013,9.600000000000001,32
2019,1,1,6,30,7.9,6,0,6,1013,9.700000000000001,31
2019,1,1,6,45,8,7,0,7,1013,9.700000000000001,31
2019,1,1,7,0,8,8,0,8,1013,9.8,31
2019,1,1,7,15,8.1,14,0,14,1013,9.8,31
2019,1,1,7,30,8.1,17,0,17,1013,9.700000000000001,31
2019,1,1,7,45,8.200000000000001,11,0,11,1013,9.700000000000001,30
2019,1,1,8,0,8.3,13,0,13,1013,9.700000000000001,30
2019,1,1,8,15,8.3,14,0,14,1013,9.700000000000001,30
2019,1,1,8,30,8.4,28,0,28,1013,9.700000000000001,29
2019,1,1,8,45,8.4,30,0,30,1013,9.700000000000001,29
2019,1,1,9,0,8.5,32,0,32,1013,9.700000000000001,28
2019,1,1,9,15,8.5,34,0,34,1013,9.700000000000001,27
2019,1,1,9,30,8.5,36,0,36,1013,9.700000000000001,27
2019,1,1,9,45,8.5,137,0,137,1013,9.600000000000001,26
2019,1,1,10,0,8.5,121,0,121,1013,9.600000000000001,25
2019,1,1,10,15,8.5,162,3,163,1013,9.5,24
2019,1,1,10,30,8.5,156,0,156,1013,9.5,24
2019,1,1,10,45,8.5,204,57,232,1013,9.4,23
2019,1,1,11,0,8.5,213,123,272,1013,9.4,23
2019,1,1,11,15,8.5,205,84,244,1013,9.4,22
2019,1,1,11,30,8.5,193,57,219,1013,9.4,21
2019,1,1,11,45,8.5,194,194,280,1013,9.4,21
2019,1,1,12,0,8.5,187,149,251,1013,9.3,20
2019,1,1,12,15,8.4,168,54,190,1013,9.3,20
2019,1,1,12,30,8.4,129,0,129,1013,9.3,20
2019,1,1,12,45,8.3,127,3,128,1013,9.3,19
2019,1,1,13,0,8.200000000000001,108,0,108,1013,9.3,19
2019,1,1,13,15,8.1,106,1,107,1013,9.200000000000001,19
2019,1,1,13,30,8,81,0,81,1013,9.1,18
2019,1,1,13,45,7.9,91,399,185,1013,9,18
2019,1,1,14,0,7.800000000000001,52,0,52,1014,8.9,18
2019,1,1,14,15,7.7,38,0,38,1014,8.8,17
2019,1,1,14,30,7.6000000000000005,26,0,26,1014,8.6,17
2019,1,1,14,45,7.5,16,0,16,1014,8.5,16
2019,1,1,15,0,7.4,7,0,7,1014,8.3,16
2019,1,1,15,15,7.4,0,0,0,1014,8.200000000000001,16
2019,1,1,15,30,7.4,0,0,0,1014,8.1,15
2019,1,1,15,45,7.300000000000001,0,0,0,1014,8,15
2019,1,1,16,0,7.300000000000001,0,0,0,1014,7.9,14
2019,1,1,16,15,7.4,0,0,0,1014,7.9,14
2019,1,1,16,30,7.4,0,0,0,1014,7.800000000000001,14
2019,1,1,16,45,7.4,0,0,0,1014,7.7,14
2019,1,1,17,0,7.5,0,0,0,1014,7.7,13
2019,1,1,17,15,7.5,0,0,0,1014,7.6000000000000005,13
2019,1,1,17,30,7.6000000000000005,0,0,0,1014,7.6000000000000005,13
2019,1,1,17,45,7.6000000000000005,0,0,0,1014,7.5,13
2019,1,1,18,0,7.7,0,0,0,1014,7.5,13
2019,1,1,18,15,7.7,0,0,0,1014,7.4,12
2019,1,1,18,30,7.7,0,0,0,1014,7.4,12
2019,1,1,18,45,7.800000000000001,0,0,0,1014,7.300000000000001,12
2019,1,1,19,0,7.800000000000001,0,0,0,1014,7.2,11
2019,1,1,19,15,7.800000000000001,0,0,0,1014,7.2,11
2019,1,1,19,30,7.9,0,0,0,1014,7.1000000000000005,10
2019,1,1,19,45,7.9,0,0,0,1014,7,10
2019,1,1,20,0,7.9,0,0,0,1014,7,9
2019,1,1,20,15,7.9,0,0,0,1014,6.9,9
2019,1,1,20,30,8,0,0,0,1014,6.9,9
2019,1,1,20,45,8,0,0,0,1014,6.9,9
2019,1,1,21,0,8,0,0,0,1014,6.9,9
2019,1,1,21,15,8,0,0,0,1014,6.800000000000001,9
2019,1,1,21,30,8,0,0,0,1014,6.7,10
2019,1,1,21,45,7.9,0,0,0,1014,6.7,10
2019,1,1,22,0,7.9,0,0,0,1014,6.6000000000000005,10
2019,1,1,22,15,7.9,0,0,0,1014,6.5,10
2019,1,1,22,30,7.800000000000001,0,0,0,1014,6.4,10
2019,1,1,22,45,7.800000000000001,0,0,0,1014,6.300000000000001,10
2019,1,1,23,0,7.800000000000001,0,0,0,1014,6.2,10
2019,1,1,23,15,7.800000000000001,0,0,0,1014,6.2,10
2019,1,1,23,30,7.800000000000001,0,0,0,1014,6.2,10
2019,1,1,23,45,7.800000000000001,0,0,0,1014,6.2,10
2019,1,2,0,0,7.7,0,0,0,1013,5.9,10
2019,1,2,0,15,7.7,0,0,0,1013,5.9,10
2019,1,2,0,30,7.6000000000000005,0,0,0,1013,5.800000000000001,9
2019,1,2,0,45,7.6000000000000005,0,0,0,1013,5.800000000000001,9
2019,1,2,1,0,7.6000000000000005,0,0,0,1013,5.7,8
2019,1,2,1,15,7.6000000000000005,0,0,0,1012,5.7,8
2019,1,2,1,30,7.6000000000000005,0,0,0,1012,5.6000000000000005,8
2019,1,2,1,45,7.5,0,0,0,1012,5.5,7
2019,1,2,2,0,7.5,0,0,0,1012,5.5,7
2019,1,2,2,15,7.5,0,0,0,1012,5.300000000000001,6
2019,1,2,2,30,7.5,0,0,0,1012,5.2,6
2019,1,2,2,45,7.4,0,0,0,1012,5.1000000000000005,6
2019,1,2,3,0,7.4,0,0,0,1012,5,5
