Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,804583,-,-,-,50.09,14.42,0,202,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Wind Speed,Temperature
2019,1,1,0,0,0,0,0,2.4000000000000004,3.4000000000000004
2019,1,1,0,15,0,0,0,2.5,3.5
2019,1,1,0,30,0,0,0,2.6,3.5
2019,1,1,0,45,0,0,0,2.7,3.6
2019,1,1,1,0,0,0,0,2.8000000000000003,3.7
2019,1,1,1,15,0,0,0,3,3.7
2019,1,1,1,30,0,0,0,3.1,3.7
2019,1,1,1,45,0,0,0,3.3000000000000003,3.8000000000000003
2019,1,1,2,0,0,0,0,3.5,3.8000000000000003
2019,1,1,2,15,0,0,0,3.6,3.8000000000000003
2019,1,1,2,30,0,0,0,3.8000000000000003,3.8000000000000003
2019,1,1,2,45,0,0,0,4,3.7
2019,1,1,3,0,0,0,0,4.1000000000000005,3.7
2019,1,1,3,15,0,0,0,4.3,3.7
2019,1,1,3,30,0,0,0,4.5,3.7
2019,1,1,3,45,0,0,0,4.7,3.7
2019,1,1,4,0,0,0,0,4.800000000000001,3.7
2019,1,1,4,15,0,0,0,4.9,3.8000000000000003
2019,1,1,4,30,0,0,0,5,3.8000000000000003
2019,1,1,4,45,0,0,0,5.1000000000000005,3.8000000000000003
2019,1,1,5,0,0,0,0,5.2,3.9000000000000004
2019,1,1,5,15,0,0,0,5.2,3.9000000000000004
2019,1,1,5,30,0,0,0,5.300000000000001,4
2019,1,1,5,45,0,0,0,5.300000000000001,4.1000000000000005
2019,1,1,6,0,0,0,0,5.4,4.2
2019,1,1,6,15,0,0,0,5.4,4.3
2019,1,1,6,30,0,0,0,5.5,4.4
2019,1,1,6,45,0,0,0,5.5,4.5
2019,1,1,7,0,0,0,0,5.6000000000000005,4.7
2019,1,1,7,15,1,1,0,5.7,4.800000000000001
2019,1,1,7,30,4,4,0,5.800000000000001,5
2019,1,1,7,45,5,5,0,5.9,5.1000000000000005
2019,1,1,8,0,5,5,0,6,5.300000000000001
2019,1,1,8,15,6,6,0,6,5.5
2019,1,1,8,30,6,6,0,6.1000000000000005,5.7
2019,1,1,8,45,7,7,0,6.2,5.800000000000001
2019,1,1,9,0,8,8,0,6.300000000000001,6
2019,1,1,9,15,8,8,0,6.4,6.1000000000000005
2019,1,1,9,30,9,9,0,6.5,6.300000000000001
2019,1,1,9,45,9,9,0,6.7,6.4
2019,1,1,10,0,16,16,0,6.800000000000001,6.6000000000000005
2019,1,1,10,15,17,17,0,6.9,6.6000000000000005
2019,1,1,10,30,70,251,639,7,6.7
2019,1,1,10,45,18,18,0,7.1000000000000005,6.7
2019,1,1,11,0,19,19,0,7.2,6.800000000000001
2019,1,1,11,15,19,19,0,7.2,6.800000000000001
2019,1,1,11,30,18,18,0,7.1000000000000005,6.7
2019,1,1,11,45,18,18,0,7,6.7
2019,1,1,12,0,17,17,0,7,6.6000000000000005
2019,1,1,12,15,16,16,0,6.9,6.6000000000000005
2019,1,1,12,30,15,15,0,6.800000000000001,6.6000000000000005
2019,1,1,12,45,14,14,0,6.800000000000001,6.5
2019,1,1,13,0,12,12,0,6.7,6.5
2019,1,1,13,15,11,11,0,6.6000000000000005,6.4
2019,1,1,13,30,10,10,0,6.6000000000000005,6.300000000000001
2019,1,1,13,45,8,8,0,6.5,6.2
2019,1,1,14,0,7,7,0,6.4,6.1000000000000005
2019,1,1,14,15,5,5,0,6.4,6
2019,1,1,14,30,4,4,0,6.300000000000001,5.9
2019,1,1,14,45,3,3,0,6.2,5.7
2019,1,1,15,0,0,0,0,6.2,5.6000000000000005
2019,1,1,15,15,0,0,0,6.2,5.5
2019,1,1,15,30,0,0,0,6.2,5.4
2019,1,1,15,45,0,0,0,6.2,5.300000000000001
2019,1,1,16,0,0,0,0,6.2,5.2
2019,1,1,16,15,0,0,0,6.2,5.1000000000000005
2019,1,1,16,30,0,0,0,6.2,5
2019,1,1,16,45,0,0,0,6.2,4.9
2019,1,1,17,0,0,0,0,6.300000000000001,4.9
2019,1,1,17,15,0,0,0,6.300000000000001,4.7
2019,1,1,17,30,0,0,0,6.300000000000001,4.6000000000000005
2019,1,1,17,45,0,0,0,6.300000000000001,4.5
2019,1,1,18,0,0,0,0,6.4,4.4
2019,1,1,18,15,0,0,0,6.5,4.3
2019,1,1,18,30,0,0,0,6.6000000000000005,4.2
2019,1,1,18,45,0,0,0,6.7,4.1000000000000005
2019,1,1,19,0,0,0,0,6.800000000000001,4
2019,1,1,19,15,0,0,0,6.9,3.9000000000000004
2019,1,1,19,30,0,0,0,7,3.9000000000000004
2019,1,1,19,45,0,0,0,7,3.8000000000000003
2019,1,1,20,0,0,0,0,7.1000000000000005,3.7
2019,1,1,20,15,0,0,0,7.2,3.6
2019,1,1,20,30,0,0,0,7.300000000000001,3.4000000000000004
2019,1,1,20,45,0,0,0,7.4,3.3000000000000003
2019,1,1,21,0,0,0,0,7.5,3.1
2019,1,1,21,15,0,0,0,7.5,2.9000000000000004
2019,1,1,21,30,0,0,0,7.5,2.7
2019,1,1,21,45,0,0,0,7.5,2.5
2019,1,1,22,0,0,0,0,7.5,2.3000000000000003
2019,1,1,22,15,0,0,0,7.5,2.1
2019,1,1,22,30,0,0,0,7.4,2
2019,1,1,22,45,0,0,0,7.4,1.8
2019,1,1,23,0,0,0,0,7.4,1.6
2019,1,1,23,15,0,0,0,7.4,1.6
2019,1,1,23,30,0,0,0,7.4,1.6
2019,1,1,23,45,0,0,0,7.4,1.6
2019,1,2,0,0,0,0,0,8,1.4000000000000001
2019,1,2,0,15,0,0,0,8.1,1.4000000000000001
2019,1,2,0,30,0,0,0,8.3,1.4000000000000001
2019,1,2,0,45,0,0,0,8.4,1.4000000000000001
2019,1,2,1,0,0,0,0,8.5,1.4000000000000001
2019,1,2,1,15,0,0,0,8.6,1.4000000000000001
2019,1,2,1,30,0,0,0,8.6,1.4000000000000001
2019,1,2,1,45,0,0,0,8.6,1.5
2019,1,2,2,0,0,0,0,8.6,1.5
2019,1,2,2,15,0,0,0,8.4,1.5
2019,1,2,2,30,0,0,0,8.200000000000001,1.6
2019,1,2,2,45,0,0,0,8.1,1.7000000000000002
2019,1,2,3,0,0,0,0,7.9,1.7000000000000002
2019,1,2,3,15,0,0,0,7.7,1.7000000000000002
2019,1,2,3,30,0,0,0,7.5,1.7000000000000002
2019,1,2,3,45,0,0,0,7.4,1.8
2019,1,2,4,0,0,0,0,7.2,1.8
2019,1,2,4,15,0,0,0,7,1.7000000000000002
2019,1,2,4,30,0,0,0,6.9,1.7000000000000002
2019,1,2,4,45,0,0,0,6.7,1.7000000000000002
2019,1,2,5,0,0,0,0,6.6000000000000005,1.6
2019,1,2,5,15,0,0,0,6.6000000000000005,1.6
2019,1,2,5,30,0,0,0,6.5,1.5
2019,1,2,5,45,0,0,0,6.5,1.5
2019,1,2,6,0,0,0,0,6.5,1.4000000000000001
2019,1,2,6,15,0,0,0,6.5,1.3
2019,1,2,6,30,0,0,0,6.6000000000000005,1.3
2019,1,2,6,45,0,0,0,6.7,1.2000000000000002
2019,1,2,7,0,0,0,0,6.800000000000001,1.2000000000000002
2019,1,2,7,15,11,11,4,6.9,1.2000000000000002
2019,1,2,7,30,4,4,0,7,1.3
2019,1,2,7,45,5,5,0,7.1000000000000005,1.3
2019,1,2,8,0,5,5,0,7.2,1.4000000000000001
2019,1,2,8,15,6,6,0,7.300000000000001,1.4000000000000001
2019,1,2,8,30,7,7,0,7.4,1.5
2019,1,2,8,45,7,7,0,7.4,1.5
2019,1,2,9,0,8,8,0,7.5,1.5
2019,1,2,9,15,13,13,0,7.5,1.5
2019,1,2,9,30,9,9,0,7.5,1.5
2019,1,2,9,45,9,9,0,7.6000000000000005,1.5
2019,1,2,10,0,10,10,0,7.6000000000000005,1.5
2019,1,2,10,15,18,18,0,7.6000000000000005,1.5
2019,1,2,10,30,19,19,0,7.5,1.5
2019,1,2,10,45,13,13,0,7.5,1.5
2019,1,2,11,0,20,20,0,7.5,1.4000000000000001
2019,1,2,11,15,19,19,0,7.300000000000001,1.4000000000000001
2019,1,2,11,30,33,33,0,7.2,1.3
2019,1,2,11,45,18,18,0,7.1000000000000005,1.3
2019,1,2,12,0,18,18,0,7,1.2000000000000002
2019,1,2,12,15,17,17,0,6.9,1.1
2019,1,2,12,30,16,16,0,6.7,1.1
2019,1,2,12,45,15,15,0,6.6000000000000005,1
2019,1,2,13,0,13,13,0,6.5,0.9
2019,1,2,13,15,12,12,0,6.4,0.8
2019,1,2,13,30,10,10,0,6.300000000000001,0.7000000000000001
2019,1,2,13,45,9,9,0,6.2,0.7000000000000001
2019,1,2,14,0,7,7,0,6.1000000000000005,0.6000000000000001
2019,1,2,14,15,6,6,0,5.9,0.4
2019,1,2,14,30,5,5,0,5.800000000000001,0.2
2019,1,2,14,45,3,3,0,5.7,0
2019,1,2,15,0,1,1,0,5.6000000000000005,-0.2
2019,1,2,15,15,0,0,0,5.5,-0.30000000000000004
2019,1,2,15,30,0,0,0,5.5,-0.4
2019,1,2,15,45,0,0,0,5.4,-0.6000000000000001
2019,1,2,16,0,0,0,0,5.4,-0.7000000000000001
2019,1,2,16,15,0,0,0,5.300000000000001,-0.8
2019,1,2,16,30,0,0,0,5.300000000000001,-0.8
2019,1,2,16,45,0,0,0,5.2,-0.9
2019,1,2,17,0,0,0,0,5.2,-1
2019,1,2,17,15,0,0,0,5.2,-1
2019,1,2,17,30,0,0,0,5.2,-1.1
2019,1,2,17,45,0,0,0,5.2,-1.1
2019,1,2,18,0,0,0,0,5.2,-1.2000000000000002
2019,1,2,18,15,0,0,0,5.1000000000000005,-1.3
2019,1,2,18,30,0,0,0,5.1000000000000005,-1.4000000000000001
2019,1,2,18,45,0,0,0,5,-1.5
2019,1,2,19,0,0,0,0,5,-1.6
2019,1,2,19,15,0,0,0,4.9,-1.7000000000000002
2019,1,2,19,30,0,0,0,4.9,-1.8
2019,1,2,19,45,0,0,0,4.800000000000001,-2
2019,1,2,20,0,0,0,0,4.800000000000001,-2.1
2019,1,2,20,15,0,0,0,4.7,-2.2
2019,1,2,20,30,0,0,0,4.7,-2.3000000000000003
2019,1,2,20,45,0,0,0,4.6000000000000005,-2.5
2019,1,2,21,0,0,0,0,4.6000000000000005,-2.6
2019,1,2,21,15,0,0,0,4.6000000000000005,-2.6
2019,1,2,21,30,0,0,0,4.6000000000000005,-2.5
2019,1,2,21,45,0,0,0,4.6000000000000005,-2.5
2019,1,2,22,0,0,0,0,4.7,-2.5
2019,1,2,22,15,0,0,0,4.7,-2.5
2019,1,2,22,30,0,0,0,4.7,-2.5
2019,1,2,22,45,0,0,0,4.7,-2.4000000000000004
2019,1,2,23,0,0,0,0,4.7,-2.4000000000000004
2019,1,2,23,15,0,0,0,4.7,-2.4000000000000004
2019,1,2,23,30,0,0,0,4.7,-2.4000000000000004
2019,1,2,23,45,0,0,0,4.7,-2.4000000000000004
2019,1,3,0,0,0,0,0,4.5,-2.9000000000000004
2019,1,3,0,15,0,0,0,4.5,-2.9000000000000004
2019,1,3,0,30,0,0,0,4.5,-2.9000000000000004
2019,1,3,0,45,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,1,0,0,0,0,4.6000000000000005,-3
2019,1,3,1,15,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,1,30,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,1,45,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,2,0,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,2,15,0,0,0,4.6000000000000005,-2.9000000000000004
2019,1,3,2,30,0,0,0,4.5,-2.9000000000000004
2019,1,3,2,45,0,0,0,4.5,-2.9000000000000004
2019,1,3,3,0,0,0,0,4.5,-3
2019,1,3,3,15,0,0,0,4.5,-3
2019,1,3,3,30,0,0,0,4.5,-3.1
