Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1267064,-,-,-,42.69,23.3,0,564,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Wind Speed,Temperature
2019,1,1,0,0,0,0,0,1.6,-2.5
2019,1,1,0,15,0,0,0,1.6,-2.5
2019,1,1,0,30,0,0,0,1.6,-2.6
2019,1,1,0,45,0,0,0,1.5,-2.6
2019,1,1,1,0,0,0,0,1.5,-2.7
2019,1,1,1,15,0,0,0,1.5,-2.7
2019,1,1,1,30,0,0,0,1.5,-2.7
2019,1,1,1,45,0,0,0,1.4000000000000001,-2.8000000000000003
2019,1,1,2,0,0,0,0,1.4000000000000001,-2.8000000000000003
2019,1,1,2,15,0,0,0,1.4000000000000001,-2.8000000000000003
2019,1,1,2,30,0,0,0,1.4000000000000001,-2.8000000000000003
2019,1,1,2,45,0,0,0,1.3,-2.8000000000000003
2019,1,1,3,0,0,0,0,1.3,-2.9000000000000004
2019,1,1,3,15,0,0,0,1.3,-2.9000000000000004
2019,1,1,3,30,0,0,0,1.3,-2.9000000000000004
2019,1,1,3,45,0,0,0,1.3,-2.9000000000000004
2019,1,1,4,0,0,0,0,1.3,-2.9000000000000004
2019,1,1,4,15,0,0,0,1.3,-2.9000000000000004
2019,1,1,4,30,0,0,0,1.3,-3
2019,1,1,4,45,0,0,0,1.3,-3
2019,1,1,5,0,0,0,0,1.3,-3
2019,1,1,5,15,0,0,0,1.4000000000000001,-2.8000000000000003
2019,1,1,5,30,0,0,0,1.5,-2.6
2019,1,1,5,45,0,0,0,1.6,-2.5
2019,1,1,6,0,0,0,0,1.6,-2.3000000000000003
2019,1,1,6,15,17,26,230,1.9000000000000001,-1.8
2019,1,1,6,30,26,54,361,2.2,-1.3
2019,1,1,6,45,34,87,473,2.4000000000000004,-0.8
2019,1,1,7,0,41,123,553,2.7,-0.30000000000000004
2019,1,1,7,15,47,159,615,2.8000000000000003,0.1
2019,1,1,7,30,51,194,665,2.9000000000000004,0.5
2019,1,1,7,45,53,229,723,3,0.9
2019,1,1,8,0,104,114,33,3.1,1.3
2019,1,1,8,15,117,130,43,3.2,1.6
2019,1,1,8,30,129,146,52,3.2,1.9000000000000001
2019,1,1,8,45,143,176,95,3.3000000000000003,2.3000000000000003
2019,1,1,9,0,65,367,837,3.4000000000000004,2.6
2019,1,1,9,15,161,207,123,3.3000000000000003,2.8000000000000003
2019,1,1,9,30,168,226,149,3.3000000000000003,2.9000000000000004
2019,1,1,9,45,68,414,868,3.2,3.1
2019,1,1,10,0,68,423,873,3.2,3.2
2019,1,1,10,15,176,262,208,3.1,3.3000000000000003
2019,1,1,10,30,177,264,212,3.1,3.3000000000000003
2019,1,1,10,45,173,273,244,3,3.4000000000000004
2019,1,1,11,0,168,277,267,3,3.4000000000000004
2019,1,1,11,15,166,268,257,2.9000000000000004,3.4000000000000004
