Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,902141,-,-,-,48.21,16.38,0,169,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Wind Speed
2019,1,1,0,0,-0.9,0,0,0,1.2000000000000002
2019,1,1,0,15,-0.8,0,0,0,1.3
2019,1,1,0,30,-0.7000000000000001,0,0,0,1.3
2019,1,1,0,45,-0.7000000000000001,0,0,0,1.4000000000000001
2019,1,1,1,0,-0.6000000000000001,0,0,0,1.4000000000000001
2019,1,1,1,15,-0.5,0,0,0,1.5
2019,1,1,1,30,-0.4,0,0,0,1.5
2019,1,1,1,45,-0.4,0,0,0,1.5
2019,1,1,2,0,-0.30000000000000004,0,0,0,1.5
2019,1,1,2,15,-0.30000000000000004,0,0,0,1.5
2019,1,1,2,30,-0.30000000000000004,0,0,0,1.5
2019,1,1,2,45,-0.30000000000000004,0,0,0,1.4000000000000001
2019,1,1,3,0,-0.30000000000000004,0,0,0,1.4000000000000001
2019,1,1,3,15,-0.2,0,0,0,1.4000000000000001
2019,1,1,3,30,-0.2,0,0,0,1.4000000000000001
2019,1,1,3,45,-0.1,0,0,0,1.4000000000000001
2019,1,1,4,0,-0.1,0,0,0,1.4000000000000001
2019,1,1,4,15,0.1,0,0,0,1.4000000000000001
2019,1,1,4,30,0.2,0,0,0,1.5
2019,1,1,4,45,0.30000000000000004,0,0,0,1.5
2019,1,1,5,0,0.5,0,0,0,1.5
2019,1,1,5,15,0.6000000000000001,0,0,0,1.6
2019,1,1,5,30,0.7000000000000001,0,0,0,1.7000000000000002
2019,1,1,5,45,0.9,0,0,0,1.8
2019,1,1,6,0,1,0,0,0,1.8
2019,1,1,6,15,1.3,0,0,0,2
2019,1,1,6,30,1.7000000000000002,0,0,0,2.2
2019,1,1,6,45,2,0,0,0,2.3000000000000003
2019,1,1,7,0,2.3000000000000003,2,2,0,2.5
2019,1,1,7,15,2.6,3,3,0,2.6
2019,1,1,7,30,3,5,5,0,2.7
2019,1,1,7,45,3.3000000000000003,6,6,0,2.8000000000000003
2019,1,1,8,0,3.6,8,8,0,3
2019,1,1,8,15,3.9000000000000004,9,9,0,3
2019,1,1,8,30,4.2,7,7,0,3.1
2019,1,1,8,45,4.5,8,8,0,3.2
2019,1,1,9,0,4.800000000000001,9,9,0,3.3000000000000003
2019,1,1,9,15,5,9,9,0,3.3000000000000003
2019,1,1,9,30,5.300000000000001,10,10,0,3.4000000000000004
2019,1,1,9,45,5.5,11,11,0,3.5
2019,1,1,10,0,5.800000000000001,11,11,0,3.5
2019,1,1,10,15,5.9,14,14,0,3.6
2019,1,1,10,30,6.1000000000000005,71,298,716,3.7
2019,1,1,10,45,6.300000000000001,14,14,0,3.8000000000000003
2019,1,1,11,0,6.5,14,14,0,3.9000000000000004
2019,1,1,11,15,6.5,84,84,0,4
2019,1,1,11,30,6.6000000000000005,12,12,0,4
2019,1,1,11,45,6.6000000000000005,20,20,0,4.1000000000000005
2019,1,1,12,0,6.7,20,20,0,4.2
2019,1,1,12,15,6.6000000000000005,18,18,0,4.2
2019,1,1,12,30,6.5,17,17,0,4.2
2019,1,1,12,45,6.4,15,15,0,4.3
2019,1,1,13,0,6.300000000000001,14,14,0,4.3
2019,1,1,13,15,6,12,12,0,4.3
2019,1,1,13,30,5.800000000000001,10,10,0,4.3
2019,1,1,13,45,5.5,9,9,0,4.3
2019,1,1,14,0,5.2,7,7,0,4.4
2019,1,1,14,15,5.1000000000000005,6,6,0,4.4
2019,1,1,14,30,4.9,4,4,0,4.5
2019,1,1,14,45,4.7,3,3,0,4.6000000000000005
2019,1,1,15,0,4.5,1,1,0,4.6000000000000005
